algoritmo,sucesso,custo,passos,explorados,expandidos,tempo_ms,fronteira_max
BFS,True,558,558,1249,1249,2.6281999998900574,9
DFS,True,558,558,725,725,1.4204999988578493,14
UCS,True,558,558,1249,1249,2.525199999581673,9
Gulosa,True,558,558,1124,1124,2.8234999990672804,12
A*,True,558,558,1245,1245,3.5836000006383983,7
BFS,True,558,558,1249,1249,2.7038999996875646,9
Gulosa,True,558,558,1124,1124,2.3901000004116213,12
BFS,True,558,558,1249,1249,2.3605000005773036,9
DFS,True,558,558,725,725,1.3920999990659766,14
DFS,True,558,558,725,725,2.422199999273289,14
